endTime,artistName,trackName,msPlayed
2021-05-05 17:53,Tee Grizzley,Late Night Calls,670
2021-05-05 17:53,Polo G,Last Man Standing,720
2021-05-05 17:53,Doe Boy,LOW KEY (feat. Lil Uzi Vert),1650
2021-05-05 17:53,Polo G,GNF (OKOKOK),0
2021-05-05 17:53,VIC MENSA,"SHELTER ft Wyclef Jean, ft Chance The Rapper",7220
2021-05-05 17:53,03 Greedo,Substance (We Woke Up),740
2021-05-05 17:53,Lil Mosey,Enough,6660
2021-05-05 17:54,The Kid LAROI,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),3020
2021-05-05 17:54,Bryce Vine,La La Land (feat. YG),17360
2021-05-05 17:54,Bazzi,Focus (feat. 21 Savage),8280
2021-05-05 17:54,Kid Cudi,Rockstar Knights (with Trippie Redd),8640
2021-05-05 17:55,Lil Durk,Finesse Out The Gang Way (feat. Lil Baby),750
2021-05-05 17:55,J. Cole,Work Out,4680
2021-05-05 17:55,Diplo,Wish,1430
2021-05-05 17:55,6LACK,Know My Rights (feat. Lil Baby),0
2021-05-05 17:55,Lil Baby,Heatin Up (feat. Gunna),680
2021-05-05 17:55,Future,Codeine Crazy,0
2021-05-05 17:55,Big Boogie,Mental Healing,1240
2021-05-05 17:55,The Kid LAROI,SO DONE,6740
2021-05-05 17:55,Lil Durk,Internet Sensation,810
2021-05-05 17:55,Wiz Khalifa,Out in Space (feat. Quavo),250
2021-05-05 17:55,D. Savage,How Does It Feel,5670
2021-05-05 17:55,CashMoneyAp,No Patience (feat. Polo G & NoCap),0
2021-05-05 17:55,C Clip Beatz,Wit Yo Bae (feat. Kodak Black),240
2021-05-05 17:55,YBN Nahmir,Opp Stoppa (feat. 21 Savage),0
2021-05-05 17:55,L0key Wavey,Vibe Till We Feel It,40370
2021-05-05 17:55,DaBaby,Masterpiece,3120
2021-05-05 17:56,IGIR Woodiee,Hasta Luego (feat. Lil Durk),8940
2021-05-05 17:56,6LACK,Know My Rights (feat. Lil Baby),3460
2021-05-05 17:56,Teejay3k,Won't Last Here,0
2021-05-05 17:56,Lil Durk,Internet Sensation,31970
2021-05-05 17:56,Ski Mask The Slump God,BabyWipe,790
2021-05-05 17:56,Kanye West,POWER,0
2021-05-05 17:56,lil a-lik,SAME FEELINGS,7650
2021-05-05 17:56,Sheff G,Tip Toe,840
2021-05-05 17:56,YoungBoy Never Broke Again,Green Dot,170
2021-05-05 17:56,Pop Smoke,War,830
2021-05-05 17:56,Playboi Carti,Sky,730
2021-05-05 17:56,Playboi Carti,Sky,500
2021-05-05 17:56,Juice WRLD,Bad Boy (with Young Thug),640
2021-05-05 17:56,Juice WRLD,Bad Boy (with Young Thug),270
2021-05-05 17:56,Brent Faiyaz,Dead Man Walking,3790
2021-05-05 17:57,$NOT,Mean,3220
2021-05-05 17:57,Lil Durk,Still Trappin' (with King Von),800
2021-05-05 17:57,Lil Tjay,None of Your Love - Bonus,0
2021-05-05 17:57,Jack Harlow,Face Of My City (feat. Lil Baby),0
2021-05-05 17:57,Lil Baby,Errbody,0
2021-05-05 17:57,21 Savage,Runnin,0
2021-05-05 17:57,King Von,The Code (feat. Polo G),300
2021-05-05 17:57,YoungBoy Never Broke Again,Kacey Talk,1010
2021-05-05 17:57,J.I the Prince of N.Y,R&B Shit (feat. A Boogie Wit da Hoodie),860
2021-05-05 17:57,Playboi Carti,M3tamorphosis (feat. Kid Cudi),0
2021-05-05 17:57,Kid Cudi,Pursuit Of Happiness (Nightmare),3250
2021-05-05 17:57,NLE Choppa,Moonlight (feat. Big Sean),130
2021-05-05 17:57,$NOT,Demanding,14400
2021-05-05 17:57,Lil Baby,On Me,0
2021-05-05 17:57,Fivio Foreign,Bop It (feat. Polo G),0
2021-05-05 17:57,T9ine,Check On Me (feat. Polo G),1240
2021-05-05 17:57,Rylo Rodriguez,Walk (feat. Lil Baby & 42 Dugg),610
2021-05-05 17:57,Kid Cudi,Tequila Shots,4900
2021-05-05 17:57,Trippie Redd,Weeeeee,2000
2021-05-05 17:57,Felipe Da Don,Sticky (feat. Lil Baby & Gunna),890
2021-05-05 17:57,Lil Gnar,HEY!,3920
2021-05-05 17:57,NLE Choppa,Protect,0
2021-05-05 17:57,Young Stoner Life,Take It To Trial (feat. Yak Gotti),0
2021-05-05 17:57,DaBaby,Handgun (feat. NoCap & Polo G),10
2021-05-05 17:57,Jack Harlow,Way Out (feat. Big Sean),590
2021-05-05 17:58,YoungBoy Never Broke Again,No Love,980
2021-05-05 17:58,Kota the Friend,Dragon,1630
2021-05-05 17:58,Bryson Tiller,Outta Time (feat. Drake),2480
2021-05-05 17:58,Bankrol Hayden,Brothers (feat. Luh Kel),1100
2021-05-05 17:58,Lil Yachty,Till The Morning (feat. Young Thug & Lil Durk),40
2021-05-05 17:58,Lil Yachty,Asshole (feat. Oliver Tree),12990
2021-05-05 17:58,Lil Yachty,Asshole (feat. Oliver Tree),0
2021-05-05 17:58,Kota the Friend,Colorado,800
2021-05-05 17:58,Bankrol Hayden,Drop A Tear (feat. Lil Baby),870
2021-05-05 17:58,NAV,Don't Need Friends (feat. Lil Baby),560
2021-05-05 17:58,Bankrol Hayden,29,1990
2021-05-05 17:58,Bankrol Hayden,29,0
2021-05-05 17:58,Arizona Zervas,24,19550
2021-05-05 17:58,Renz Low,Pain,1730
2021-05-05 17:58,iann dior,Holding On,6620
2021-05-05 17:58,Bankrol Hayden,Costa Rica (feat. The Kid LAROI) - Remix,590
2021-05-05 17:58,Lil Yachty,Just How I'm Feelin' (feat. Lil Baby),0
2021-05-05 17:58,Lil Tjay,Move On - Bonus,0
2021-05-05 17:58,Bankrol Hayden,Whatchu On Today (feat. Polo G),420
2021-05-05 17:59,Future,Stripes Like Burberry,1430
2021-05-05 17:59,Polo G,Through Da Storm,1180
2021-05-05 17:59,Polo G,Through Da Storm,1190
2021-05-05 17:59,Ty Dolla $ign,Universe (feat. Kehlani),2940
2021-05-05 17:59,Future,Moment of Clarity,200
2021-05-05 17:59,Future,Moment of Clarity,3010
2021-05-05 17:59,Future,I Don’t Wanna Break Up,1230
2021-05-05 17:59,Dreamville,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),280
2021-05-05 17:59,NAV,Young Wheezy (with Gunna),7020
2021-05-05 17:59,Future,Marni On Me,490
2021-05-05 17:59,Flipp Dinero,No No No (feat. A Boogie Wit Da Hoodie),3790
2021-05-05 17:59,Flipp Dinero,No No No (feat. A Boogie Wit Da Hoodie),560
2021-05-05 17:59,NLE Choppa,Walk Em Down (feat. Roddy Ricch),11670
2021-05-05 17:59,NLE Choppa,Walk Em Down (feat. Roddy Ricch),890
2021-05-05 17:59,Ty Dolla $ign,Lift Me Up (feat. Future & Young Thug),5180
2021-05-05 17:59,Polo G,Chosen 1,240
2021-05-05 17:59,Polo G,Don't Believe The Hype,310
2021-05-05 17:59,Future,Drankin N Smokin,3140
2021-05-05 17:59,Future,Real Baby Pluto,1960
2021-05-05 17:59,Future,Million Dollar Play,4010
2021-05-05 18:00,Kanye West,Heartless,190
2021-05-05 18:00,Alec Benjamin,Mind Is A Prison,5830
2021-05-05 18:00,LBS Kee'vin,Shining (feat. 42 Dugg),710
2021-05-05 18:00,21 Savage,Glock In My Lap,620
2021-05-05 18:00,Lil Durk,Stay Down (with 6LACK & Young Thug),3860
2021-05-05 18:00,Lil Baby,Grace (feat. 42 Dugg),590
2021-05-05 18:00,Polo G,Finer Things,2060
2021-05-05 18:00,A$AP Rocky,Sundress,17880
2021-05-05 18:00,Bazzi,I.F.L.Y.,700
2021-05-05 18:00,24kGoldn,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",8500
2021-05-05 18:00,$NOT,Like Me (feat. iann dior),5220
2021-05-05 18:00,Ali Gatie,What If I Told You That I Love You,5700
2021-05-05 18:00,Lil Baby,Low Down,620
2021-05-05 18:01,The Weeknd,Wanderlust,1660
2021-05-05 18:01,SAINt JHN,Monica Lewinsky (feat. A Boogie Wit da Hoodie),7150
2021-05-05 18:01,Unknown Artist,Unknown Track,1200
2021-05-05 18:01,Post Malone,Stay,5400
2021-05-05 18:01,Travis Scott,"FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX",680
2021-05-05 18:01,The Weeknd,Shameless,2370
2021-05-05 18:01,Juice WRLD,Tell Me U Luv Me (with Trippie Redd),8380
2021-05-05 18:01,guardin,i think you're really cool,15240
2021-05-05 18:01,Laney Keyz,Colorful Shit,1650
2021-05-05 18:01,PARTYNEXTDOOR,Recognize (feat. Drake),16590
2021-05-05 18:02,Frank Ocean,Pink + White,18630
2021-05-05 18:02,Quin Nfn,Stay Down,2020
2021-05-05 18:02,21 Savage,Rich Nigga Shit (feat. Young Thug),0
2021-05-05 18:02,Machine Gun Kelly,my ex's best friend (with blackbear),4160
2021-05-05 18:02,$NOT,GOSHA,840
2021-05-05 18:02,DaBaby,NO DRIBBLE (feat. Stunna 4 Vegas),720
2021-05-05 18:02,Future,Over Your Head,0
2021-05-05 18:02,Frank Ocean,Self Control,4800
2021-05-05 18:02,$NOT,Can You Help Me,4530
2021-05-05 18:02,NLE Choppa,Narrow Road (feat. Lil Baby),920
2021-05-05 18:02,Quando Rondo,New Ones (feat. NoCap),1010
2021-05-05 18:02,21 Savage,My Dawg,740
2021-05-05 18:02,$NOT,Revenge,6720
2021-05-05 18:02,21 Savage,Mr. Right Now (feat. Drake),0
2021-05-05 18:02,Ali Gatie,Welcome Back (feat. Alessia Cara),6820
2021-05-05 18:03,Johnny Rain,NINA,4290
2021-05-05 18:03,Bryson Tiller,Rambo (Last Blood) (feat. The Weeknd),0
2021-05-05 18:03,Roy Woods,Instinct (feat. MadeinTYO),11920
2021-05-05 18:03,Roy Woods,Instinct (feat. MadeinTYO),0
2021-05-05 18:03,UMI,Remember Me,11230
2021-05-05 18:03,NoCap,Surgery,390
2021-05-05 18:03,Johnny Rain,Peach,13460
2021-05-05 18:03,Johnny Rain,Peach,30
2021-05-05 18:03,Johnny Rain,VIRGO BOY FREESTYLE,6820
2021-05-05 18:03,Polo G,Epidemic,210
2021-05-05 18:03,Polo G,Relentless,0
2021-05-05 18:03,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),0
2021-05-05 18:03,2KBABY,MAD,700
2021-05-05 18:04,XXXTENTACION,bad vibes forever,11980
2021-05-05 18:04,Col3trane,Penelope,3780
2021-05-05 18:04,Jack Gilinsky,Lose Somebody,4370
2021-05-05 18:04,Johnny Rain,'13,5580
2021-05-05 18:04,Internet Money,Lemonade,870
2021-05-05 18:04,A Boogie Wit da Hoodie,Stalking You,970
2021-05-05 18:04,XXXTENTACION,the remedy for a broken heart (why am I so in love),1120
2021-05-05 18:04,Anderson .Paak,Heart Don't Stand a Chance,4870
2021-05-05 18:04,Young Thug,Lil Baby,1020
2021-05-05 18:04,D. Savage,No Smoke,880
2021-05-05 18:04,2KBABY,OLD STREETS (feat. Lil Durk) - Remix,0
2021-05-05 18:05,A Boogie Wit da Hoodie,Vroom Vroom,280
2021-05-05 18:05,Bryson Tiller,Inhale,1480
2021-05-05 18:05,Lil Durk,3 Headed Goat (feat. Lil Baby & Polo G),0
2021-05-05 18:05,POORSTACY,Without You,27050
2021-05-05 18:05,Calvin Harris,Over Now (with The Weeknd),3980
2021-05-05 18:05,Frank Ocean,Ivy,3680
2021-05-05 18:05,Frank Ocean,Nights,9280
2021-05-05 18:05,Unknown Artist,Unknown Track,790
2021-05-05 18:05,Unknown Artist,Unknown Track,630
2021-05-05 18:05,Kanye West,Runaway,570
2021-05-05 18:05,Kanye West,Runaway,2340
2021-05-05 18:05,Joji,SLOW DANCING IN THE DARK,5240
2021-05-05 18:05,Joji,SLOW DANCING IN THE DARK,1520
2021-05-05 18:05,Kid Cudi,Mr. Rager,6380
2021-05-05 18:05,Kid Cudi,Mr. Rager,2480
2021-05-05 18:05,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",0
2021-05-05 18:05,Big Sean,Lithuania (feat. Travis Scott),0
2021-05-05 18:06,Internet Money,Blastoff (feat. Juice Wrld & Trippie Redd),3060
2021-05-05 18:06,Internet Money,"Lost Me (feat. Lil Mosey, iann dior & Lil Skies)",31820
2021-05-05 18:07,redveil,Soulfood,1470
2021-05-05 18:07,girl in red,we fell in love in october,77720
2021-05-05 18:07,Future,Realer N Realer,580
2021-05-05 18:07,Quality Control,Bless Em (Takeoff feat. Travis Scott),860
2021-05-05 18:07,DDG,Moonwalking in Calabasas Remix,1590
2021-05-05 18:07,Travis Scott,sdp interlude,800
2021-05-05 18:08,redveil,Soulfood,2180
2021-05-05 18:08,Kanye West,Violent Crimes,5730
2021-05-05 18:08,Jaden,Summertime In Paris,18840
2021-05-05 18:08,Money Man,24 (feat. Lil Baby),0
2021-05-05 18:08,Jack Harlow,THRU THE NIGHT (feat. Bryson Tiller),920
2021-05-05 18:08,J. Cole,Love Yourz,830
2021-05-05 18:08,Drake,Forever,920
2021-05-05 18:08,Jaden,Ninety,3530
2021-05-05 18:08,Daniel Caesar,Get You (feat. Kali Uchis),4340
2021-05-05 18:08,$NOT,Moon & Stars (feat. Maggie Lindemann),6110
2021-05-05 18:08,Travis Scott,sdp interlude,8590
2021-05-05 18:08,Travis Scott,"The Plan - From the Motion Picture ""TENET""",810
2021-05-05 18:08,Clairo,Pretty Girl,3930
2021-05-05 18:08,Daniel Caesar,Best Part (feat. H.E.R.),4400
2021-05-05 18:09,J. Cole,January 28th,570
2021-05-05 18:09,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",5970
2021-05-05 18:09,A$AP Rocky,L$D,4390
2021-05-05 18:09,Lil Baby,The Bigger Picture,0
2021-05-05 18:09,Tame Impala,The Less I Know The Better,29920
2021-05-05 18:09,Tame Impala,Feels Like We Only Go Backwards,6180
2021-05-05 18:11,Drake,Laugh Now Cry Later (feat. Lil Durk),1760
2021-05-05 18:11,A Boogie Wit da Hoodie,Fall in Love,1480
2021-05-05 18:11,J. Cole,January 28th,87950
2021-05-05 18:11,Lil Baby,The Bigger Picture,940
2021-05-05 18:11,Polo G,Be Something,460
2021-05-05 18:11,Juice WRLD,Can't Die,6010
2021-05-05 18:11,Juice WRLD,Up Up And Away,10170
2021-05-05 18:11,Juice WRLD,Stay High,4480
2021-05-05 18:11,Juice WRLD,Screw Juice,4400
2021-05-05 18:11,Kanye West,Devil In A New Dress,730
2021-05-05 18:11,Playboi Carti,Yah Mean,4480
2021-05-05 18:11,Polo G,First Place,40
2021-05-05 18:11,Pop Smoke,Gangstas,720
2021-05-05 18:12,A Boogie Wit da Hoodie,No Comparison,25000
2021-05-05 18:12,G Herbo,PTSD,900
2021-05-05 18:12,Juice WRLD,Smile (with The Weeknd),4390
2021-05-05 18:12,Suigeneris,Now (feat. Lil Skies),3930
2021-05-05 18:12,Juice WRLD,Conversations,990
2021-05-05 18:12,Juice WRLD,Bad Energy,3760
2021-05-05 18:12,Kodak Black,Already,810
2021-05-05 18:12,Juice WRLD,Man Of The Year,0
2021-05-05 18:12,Juice WRLD,Blood On My Jeans,7780
2021-05-05 18:12,Polo G,I Know,280
2021-05-05 18:12,Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),460
2021-05-05 18:12,Lil Eazzyy,Onna Come Up,1500
2021-05-05 18:12,Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),240
2021-05-05 18:12,Maxo Kream,Mars (feat. Lil Uzi Vert),0
2021-05-05 18:12,J. Cole,Lion King On Ice,640
2021-05-05 18:13,Polo G,Beautiful Pain (Losin My Mind),0
2021-05-05 18:13,Kendrick Lamar,Money Trees,280
2021-05-05 18:13,A Boogie Wit da Hoodie,4 Min Convo (Favorite Song),1050
2021-05-05 18:13,iann dior,Pretty Girls,20100
2021-05-05 18:13,Polo G,21,500
2021-05-05 18:13,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0
2021-05-05 18:13,Arctic Monkeys,505,0
2021-05-05 18:13,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),3390
2021-05-05 18:13,Kodak Black,Coolin and Booted,880
2021-05-05 18:13,Travis Scott,Pornography,1480
2021-05-05 18:13,A Boogie Wit da Hoodie,Flood My Wrist (feat. Lil Uzi Vert),0
2021-05-05 18:13,A Boogie Wit da Hoodie,Timeless (feat. DJ SPINKING),590
2021-05-05 18:13,Polo G,Martin & Gina,12460
2021-05-05 18:13,Juice WRLD,Come & Go (with Marshmello),1020
2021-05-05 18:13,A Boogie Wit da Hoodie,Ransom,950
2021-05-05 18:13,Gunna,RELENTLESS (feat. Lil Uzi Vert),510
2021-05-05 18:13,24kGoldn,Mood (feat. iann dior),950
2021-05-05 18:13,Trippie Redd,Topanga,6150
2021-05-05 18:14,Tay-K,The Race - Remix,0
2021-05-05 18:14,Lil Uzi Vert,Neon Guts (feat. Pharrell Williams),1420
2021-05-05 18:14,Gunna,Who You Foolin,540
2021-05-05 18:14,Gunna,Who You Foolin,870
2021-05-05 18:14,Lil Baby,We Paid (feat. 42 Dugg),0
2021-05-05 18:14,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),0
2021-05-05 18:14,Xavier Weeks,Team,30
2021-05-05 18:14,Polo G,Flex (feat. Juice WRLD),0
2021-05-05 18:14,Pop Smoke,Shake The Room (feat. Quavo),0
2021-05-05 18:14,Playboi Carti,dothatshit!,0
2021-05-05 18:14,Gunna,Baby Birkin,0
2021-05-05 18:14,Polo G,Wishing For A Hero (feat. BJ The Chicago Kid),690
2021-05-05 18:14,Pop Smoke,Dior,530
2021-05-05 18:14,A Boogie Wit da Hoodie,7 Mac 11's,0
2021-05-05 18:14,Trippie Redd,Taking A Walk,0
2021-05-05 18:14,Trippie Redd,Taking A Walk,4030
2021-05-05 18:14,Travis Scott,CAN'T SAY,0
2021-05-05 18:14,Tommy Ice,Mixed Up,5700
2021-05-05 18:14,Pop Smoke,Foreigner (feat. A Boogie Wit da Hoodie),0
2021-05-05 18:14,JACKBOYS,GATTI,0
2021-05-05 18:14,A Boogie Wit da Hoodie,It's Crazy (feat. Melody),0
2021-05-05 18:14,Juice WRLD,Hurt Me,0
2021-05-05 18:14,Lil Peep,Benz Truck (гелик),0
2021-05-05 18:14,Lil Peep,Benz Truck (гелик),2400
2021-05-05 18:14,XXXTENTACION,I don’t let go,380
2021-05-05 18:14,XXXTENTACION,I don’t let go,760
2021-05-05 18:14,Quality Control,100 Racks (Offset feat. Playboi Carti),0
2021-05-05 18:14,Polo G,Heartless (feat. Mustard),0
2021-05-05 18:14,Sean Kingston,Beautiful Girls,2020
2021-05-05 18:14,Sean Kingston,Beautiful Girls,0
2021-05-05 18:14,Juice WRLD,End Of The Road,3460
2021-05-05 18:14,Kanye West,Bound 2,0
2021-05-05 18:14,Lil Yachty,Split/Whole Time,1120
2021-05-05 18:14,Juice WRLD,Wishing Well,520
2021-05-05 18:14,Pop Smoke,Something Special,2370
2021-05-05 18:14,Playboi Carti,Location,240
2021-05-05 18:14,Juice WRLD,Life's A Mess (feat. Halsey),4970
2021-05-05 18:14,Pop Smoke,Mood Swings (feat. Lil Tjay),0
2021-05-05 18:14,The Kid LAROI,GO (feat. Juice WRLD),0
2021-05-05 18:15,Lil Uzi Vert,Bigger Than Life,590
2021-05-05 18:15,Frank Ocean,Chanel,3560
2021-05-05 18:15,Lil Baby,Emotionally Scarred,820
2021-05-05 18:15,Juice WRLD,Scared Of Love,1240
2021-05-05 18:15,Lil Baby,Freestyle,30
2021-05-05 18:15,Playboi Carti,Long Time - Intro,1020
2021-05-05 18:15,Juice WRLD,Righteous,30
2021-05-05 18:15,Lil Baby,Close Friends (Lil Baby & Gunna),0
2021-05-05 18:15,DaBaby,ROCKSTAR (feat. Roddy Ricch),0
2021-05-05 18:15,DaBaby,ROCKSTAR (feat. Roddy Ricch),6000
2021-05-05 18:15,iann dior,Prospect (ft. Lil Baby),1790
2021-05-05 18:15,Lil Skies,Name in the Sand,1660
2021-05-05 18:15,Nicki Minaj,Starships,1100
2021-05-05 18:15,blackbear,chateau,1290
2021-05-05 18:15,blackbear,do re mi,340
2021-05-05 18:15,Travis Scott,BUTTERFLY EFFECT,0
2021-05-05 18:15,AJR,Sober Up (feat. Rivers Cuomo),1370
2021-05-05 18:15,Lil Baby,Commercial (feat. Lil Uzi Vert),1200
2021-05-05 18:15,Playboi Carti,Foreign,2400
2021-05-05 18:15,Travis Scott,the ends,550
2021-05-05 18:15,Quin Nfn,Poles,730
2021-05-05 18:15,Quin Nfn,Poles,1370
2021-05-05 18:15,Quin Nfn,Poles,140
2021-05-05 18:15,Chance the Rapper,Cocoa Butter Kisses,1140
2021-05-05 18:15,DaBaby,PICK UP (feat. Quavo),760
2021-05-05 18:15,blackbear,i miss the old u,1650
2021-05-05 18:15,Trippie Redd,Everything BoZ,4210
2021-05-05 18:15,Trippie Redd,Everything BoZ,3960
2021-05-05 18:15,THE SCOTTS,THE SCOTTS,1160
2021-05-05 18:16,Travis Scott,COFFEE BEAN,110
2021-05-05 18:16,XXXTENTACION,Carry On,230
2021-05-05 18:16,XXXTENTACION,Carry On,0
2021-05-05 18:16,POORSTACY,Empty Room,0
2021-05-05 18:16,POORSTACY,Empty Room,2100
2021-05-05 18:16,Lil Tecca,Out Of Love (feat. Internet Money),920
2021-05-05 18:16,A Boogie Wit da Hoodie,Say A',2440
2021-05-05 18:16,Drake,Passionfruit,660
2021-05-05 18:16,Drake,Passionfruit,14880
