tracks/artist,tracks/album,tracks/track,tracks/uri,albums/artist,albums/album,albums/uri,artists/name,artists/uri,other
Method,Houdini,Houdini,spotify:track:5BMQ9aDjGCfGQvsQmTQj26,,,,,,
Drake,Back To Back,Back To Back,spotify:track:5lFDtgWsjRJu8fPOAyJIAK,,,,,,
Juice WRLD,Legends Never Die,Screw Juice,spotify:track:4F6YLjakjqWFTgC5qfEwPQ,,,,,,
Kanye West,Graduation,Flashing Lights,spotify:track:31I3Rt1bPa2LrE74DdNizO,,,,,,
Post Malone,Wow.,Wow.,spotify:track:6MWtB6iiXyIwun0YzU6DFP,,,,,,
JAY-Z,Watch The Throne,Ni**as In Paris,spotify:track:2Zb7wnGUnNPCas2E0wWSQ5,,,,,,
The Kid LAROI,Fade Away,Fade Away,spotify:track:32ypPhtgTaETvFn3ZIHXTW,,,,,,
Pi’erre Bourne,The Life Of Pi'erre 5,Groceries,spotify:track:127zRLKoGQXgp2lXsjzlbu,,,,,,
Lil Mosey,Bust Down Cartier,Bust Down Cartier,spotify:track:15AF6h7aQ0ibWzBbzAFLL9,,,,,,
Drake,Sneakin’,Sneakin’,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,,,,,,
Chris Brown,"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)","Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",spotify:track:4YkwUfWSIxdKNLDXw0caFO,,,,,,
Migos,Versace (feat. Drake) [Remix] - Single,Versace (Remix),spotify:track:0XGLsSU6wtfnKXiMNvQr61,,,,,,
Lil Baby,My Turn,Grace (feat. 42 Dugg),spotify:track:01JMnRUs2YOK6DDpdQASGY,,,,,,
Kendrick Lamar,DAMN.,DNA.,spotify:track:6HZILIRieu8S0iqY8kIKhj,,,,,,
Pop Smoke,Meet The Woo 2,Foreigner (feat. A Boogie Wit da Hoodie),spotify:track:7iBKCNKl5UjxfOgyxnQ6q6,,,,,,
Drake,Certified Lover Boy,Knife Talk (with 21 Savage ft. Project Pat),spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,,,,,,
Khalid,American Teen,Location,spotify:track:152lZdxL1OR0ZMW6KquMif,,,,,,
Kid $Ixty,Sweet Tears,Sadboy,spotify:track:1DQnCRSWCDkeGN81FEStxs,,,,,,
Juice WRLD,All Girls Are The Same,All Girls Are The Same,spotify:track:1dNyRyz1QBN9kO1etUs1PI,,,,,,
WillThaRapper,Gun Control 2,Suited and Booted,spotify:track:0dydPplu2O3t5FReSUnR75,,,,,,
Quavo,B U B B L E G U M,BUBBLE GUM,spotify:track:4CSJ8Fd00PgZaDIRrOGWMA,,,,,,
Tory Lanez,LoVE me NOw,TAlk tO Me (with Rich The Kid),spotify:track:2cRgo1TiPm7SnPvYzvbOLf,,,,,,
Kota the Friend,Dragon,Dragon,spotify:track:3cBHgJAkUkD0OdJsfooZEg,,,,,,
21 Savage,Issa Album,Bank Account,spotify:track:5eqK0tbzUPo2SoeZsov04s,,,,,,
Huncho Jack,"Huncho Jack, Jack Huncho",Saint Laurent Mask,spotify:track:7JGyxh8G8QZnu4AMJuCqlj,,,,,,
Pooh Shiesty,Back In Blood (feat. Lil Durk),Back In Blood (feat. Lil Durk),spotify:track:7JuHVG3qQKQKxC4doneXVW,,,,,,
Cochise,Tell Em,Tell Em,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,,,,,,
Drake,0 To 100 / The Catch Up,0 To 100 / The Catch Up,spotify:track:4jtyUzZm9WLc2AdaJ1dso7,,,,,,
YNW Melly,Till The End (feat. Skooly),Till The End (feat. Skooly),spotify:track:7bIwWyTMQcfpW2MwRNCfiV,,,,,,
Ski Mask The Slump God,You Will Regret,BabyWipe,spotify:track:4cXe7l3Y5Wv2ZMGDOsxfyX,,,,,,
Wiz Khalifa,The Thrill,The Thrill,spotify:track:4wqzOaLxiCRy2Et8tRyNSX,,,,,,
girl in red,we fell in love in october / forget her,we fell in love in october,spotify:track:1BYZxKSf0aTxp8ZFoeyM3d,,,,,,
A Boogie Wit da Hoodie,Hoodie SZN,Just Like Me (feat. Young Thug),spotify:track:0uH6JssU7mWkTT9mqeqEvL,,,,,,
DaBaby,KIRK,VIBEZ,spotify:track:0fySG6A6qLE8IvDpayb5bM,,,,,,
Playboi Carti,Die Lit,Fell In Luv (feat. Bryson Tiller),spotify:track:1s9DTymg5UQrdorZf43JQm,,,,,,
Lil Skies,Shelby,I,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,,,,,,
Lil He77,Lie on Me,Lie on Me,spotify:track:7ijXfR09g8dImpTI586m7k,,,,,,
JID,Off Deez (with J. Cole),Off Deez (with J. Cole),spotify:track:7hmAf3bxD3xRGj9pShrLlT,,,,,,
Gunna,Drip or Drown 2,Richard Millie Plain,spotify:track:14PWHDV87nXiSuClZDsEYC,,,,,,
Sean Kingston,Beautiful Girls,Beautiful Girls,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,,,,,,
Drake,Certified Lover Boy,No Friends In The Industry,spotify:track:2tUL6dZf1mywCj5WvCPZw6,,,,,,
Future,EVOL,Wicked,spotify:track:6BbINUfGabVyiNFJpQXn3x,,,,,,
Flipp Dinero,No No No (feat. A Boogie Wit Da Hoodie),No No No (feat. A Boogie Wit Da Hoodie),spotify:track:3TFO78JhsoNbQUrfKfGdIo,,,,,,
Anderson .Paak,Tints (feat. Kendrick Lamar),Tints (feat. Kendrick Lamar),spotify:track:1gnwGVoG7V08vMX3hyr90x,,,,,,
03 Greedo,Still Summer In The Projects,Trap House (feat. Shoreline Mafia),spotify:track:6ZxX2vmH5WLufcOqenLjfb,,,,,,
Metro Boomin,NOT ALL HEROES WEAR CAPES,10AM/Save The World (feat. Gucci Mane),spotify:track:6qZANDqrSAvfuSjcxBP1PD,,,,,,
