endTime,artistName,trackName,msPlayed
2022-04-06 02:14,Lil Uzi Vert,POP,214260
2022-04-06 02:18,Playboi Carti,Fell In Luv (feat. Bryson Tiller),206333
2022-04-06 02:19,Offset,Red Room,111556
2022-04-06 02:20,King Von,Don't Play That,2140
2022-04-06 02:23,Quin Nfn,Poles,191974
2022-04-06 02:27,"Tyler, The Creator",I THINK,202225
2022-04-06 02:30,Clean Bandit,Higher (feat. iann dior),203953
2022-04-06 02:31,Speaker Knockerz,Lonely,10380
2022-04-06 02:31,A Boogie Wit da Hoodie,Glasses,10650
2022-04-06 02:31,Juice WRLD,Rich And Blind,49026
2022-04-06 02:36,Mac Miller,Knock Knock,116690
2022-04-06 02:37,A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga),24330
2022-04-06 02:40,Pi’erre Bourne,Switching Lanes (feat. Playboi Carti),190097
2022-04-06 02:41,AJR,Sober Up (feat. Rivers Cuomo),5122
2022-04-07 19:13,Trippie Redd,Taking A Walk,430
2022-04-07 19:13,Ski Mask The Slump God,Faucet Failure,610
2022-04-07 19:14,Travis Scott,Watch (feat. Lil Uzi Vert & Kanye West),460
2022-04-07 19:14,6 Dogs,Faygo Dreams,32960
2022-04-07 19:14,The Weeknd,Don’t Break My Heart,930
2022-04-07 19:14,YNW Melly,Suicidal,1000
2022-04-07 19:14,Lil Tecca,Out Of Love (feat. Internet Money),130
2022-04-07 19:14,Lil Tecca,Out Of Love (feat. Internet Money),800
2022-04-07 19:14,YG,I'm A Thug Pt. 2,1030
2022-04-07 19:14,J. Cole,Motiv8,3810
2022-04-07 19:14,Migos,Narcos,4240
2022-04-07 19:14,Rich The Kid,That's Tuff (feat. Quavo),1730
2022-04-07 19:17,The Weeknd,Don’t Break My Heart,175390
2022-04-07 19:17,Kodak Black,Tunnel Vision,1890
2022-04-07 19:17,YNW Melly,Suicidal,960
2022-04-07 19:17,NAV,Tap (feat. Meek Mill),660
2022-04-07 19:17,Lil Tecca,Out Of Love (feat. Internet Money),3520
2022-04-07 19:21,Gunna,Spending Addiction,186480
2022-04-07 19:23,Gunna,Derek Fisher (feat. Lil Baby),167240
2022-04-07 19:27,Bryson Tiller,Exchange,55186
2022-04-07 19:27,Future,Low Life (feat. The Weeknd),1010
2022-04-07 19:27,Gunna,One Call,1290
2022-04-07 19:27,Drake,Still Here,189853
2022-04-07 19:28,Lil Skies,Creeping (feat. Rich the Kid),1010
2022-04-07 19:28,Lil Skies,Creeping (feat. Rich the Kid),1770
2022-04-07 19:28,Renz Low,Pain,1600
2022-04-07 19:28,Rich The Kid,Prada (feat. Polo G) - Remix,1380
2022-04-07 19:28,Aminé,BLACKJACK (feat. YBN Cordae) - Remix,1200
2022-04-07 19:29,Renz Low,Pain,96080
2022-04-07 19:34,Huncho Jack,How U Feel,182870
2022-04-07 20:42,NAV,EAT (feat. Gunna),420
2022-04-07 20:42,$NOT,Can You Help Me,540
2022-04-07 20:42,Savage Ga$p,tired of being tired,610
2022-04-07 20:42,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",980
2022-04-07 20:42,2KBABY,MAD,1540
2022-04-07 20:45,$NOT,Can You Help Me,173000
2022-04-07 20:46,KIDS SEE GHOSTS,Reborn,7240
2022-04-07 20:46,Juice WRLD,ON GOD (feat. Young Thug),3210
2022-04-07 20:46,Jay Critch,Quicker (feat. Offset),4790
2022-04-07 20:46,Lil Baby,Close Friends (Lil Baby & Gunna),1010
2022-04-07 20:46,Xavier Weeks,Team,710
2022-04-07 20:46,Migos,Having Our Way (feat. Drake),1280
2022-04-07 20:46,The Weeknd,Reminder,820
2022-04-07 20:46,Lil Kapow,BLACKOUT,2120
2022-04-07 20:46,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",78550
2022-04-07 20:46,Paris Shadows,Po'ed Up (feat. Gunna),1120
2022-04-07 20:48,POORSTACY,OKAY,103980
2022-04-07 23:09,ScHoolboy Q,5200,790
2022-04-07 23:09,POORSTACY,OKAY,6460
2022-04-07 23:13,J. Cole,MIDDLE CHILD,213593
2022-04-07 23:15,Machine Gun Kelly,"Bullets With Names (feat. Young Thug, RJMrLA & Lil Duke)",169047
2022-04-07 23:18,Quality Control,Ice Tray,184059
2022-04-07 23:18,NAV,Turks (feat. Travis Scott),2380
2022-04-07 23:19,Coi Leray,BIG PURR (Prrdd) (feat. Pooh Shiesty),1870
2022-04-07 23:19,Migos,Kelly Price (feat. Travis Scott),4060
2022-04-07 23:19,Post Malone,Psycho,12990
2022-04-07 23:19,DaBaby,Today - Intro,2000
2022-04-07 23:21,DaBaby,Today - Intro,137946
2022-04-07 23:24,Coi Leray,BIG PURR (Prrdd) (feat. Pooh Shiesty),11003
2022-04-07 23:24,Frank Ocean,Self Control,1920
2022-04-07 23:24,Kanye West,Bound 2,2130
2022-04-07 23:24,A$AP Mob,"Crazy Brazy (feat. A$AP Rocky, A$AP Twelvyy & Key!)",510
2022-04-07 23:28,Kanye West,Bound 2,229146
2022-04-07 23:29,Bryson Tiller,Stay Blessed,790
2022-04-07 23:29,The Weeknd,Privilege,1490
2022-04-07 23:29,G Herbo,2 Chains,1060
2022-04-07 23:29,The Weeknd,After Hours,1540
2022-04-07 23:29,NAV,Tension,1210
2022-04-07 23:29,A$AP Mob,"Crazy Brazy (feat. A$AP Rocky, A$AP Twelvyy & Key!)",78583
2022-04-07 23:31,POORSTACY,Empty Room,124499
2022-04-07 23:33,Juice WRLD,Legends,77345
2022-04-08 01:22,Young Thug,Bubbly (with Drake & Travis Scott),165066
2022-04-08 01:25,Lil Tjay,Leaked,220240
2022-04-08 01:25,Rylo Rodriguez,Walk (feat. Lil Baby & 42 Dugg),14593
2022-04-08 01:26,Young Thug,Hot (feat. Gunna),1200
2022-04-08 01:26,Lud Foe,Show U Off,810
2022-04-08 01:26,Young Nudy,EA (feat. 21 Savage),2020
2022-04-08 01:26,Post Malone,Candy Paint,2930
2022-04-08 01:28,Travis Scott,ASTROTHUNDER,142969
2022-04-08 01:28,Smokepurpp,Glock In My Benz,6620
2022-04-08 01:29,21 Savage,pad lock,25030
2022-04-08 01:31,Bryson Tiller,Rambo (Last Blood) (feat. The Weeknd),1480
2022-04-08 01:31,NAV,Vicodin,16390
2022-04-08 01:31,A Boogie Wit da Hoodie,4 Min Convo (Favorite Song),1900
2022-04-08 01:31,Pop Smoke,Dior,980
2022-04-08 01:31,Tee Grizzley,10K,7280
2022-04-08 01:31,Kanye West,Flashing Lights,1500
2022-04-08 01:31,Kanye West,Flashing Lights,1160
2022-04-08 01:31,Young Stoner Life,Solid (feat. Drake),2390
2022-04-08 01:31,Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk),1500
2022-04-08 01:31,Lil Yachty,X Men,910
2022-04-08 01:31,YNW Melly,Murder On My Mind,1060
2022-04-08 01:31,No Jumper,Hard (feat. Tay-K and BlocBoy JB),1510
2022-04-08 01:31,Jaden,Summer,135400
2022-04-08 01:31,Tyga,Taste (feat. Offset),1860
2022-04-08 01:31,Ali Gatie,What If I Told You That I Love You,1240
2022-04-08 01:31,Ali Gatie,What If I Told You That I Love You,1120
2022-04-08 01:32,girl in red,we fell in love in october,1790
2022-04-08 01:32,HoodRich Pablo Juan,Just Vibe (feat. Gunna),3780
2022-04-08 01:32,Quando Rondo,Bad Vibe (feat. A Boogie Wit da Hoodie & 2 Chainz),1290
2022-04-08 01:32,Lil Tecca,Ransom,1270
2022-04-08 01:32,MadeinTYO,Kelly Rowland,1730
2022-04-08 01:32,Playboi Carti,Magnolia,890
2022-04-08 01:32,Lil Durk,Internet Sensation,4940
2022-04-08 01:32,Rae Sremmurd,Black Beatles,1210
2022-04-08 01:32,The Kid LAROI,ALWAYS DO,1920
2022-04-08 01:32,Gunna,too easy,950
2022-04-08 01:32,Travis Scott,Pray 4 Love (feat. The Weeknd),1720
2022-04-08 01:34,Oliver Tree,Miracle Man,125051
