endTime,artistName,trackName,msPlayed
2021-12-03 17:00,Aminé,Heebiejeebies - Bonus,220160
2021-12-03 17:03,Don Toliver,Euphoria (feat. Travis Scott & Kaash Paige),3530
2021-12-03 17:03,Quality Control,Bless Em (Takeoff feat. Travis Scott),1490
2021-12-03 17:03,Conway the Machine,Scatter Brain (feat. Ludacris & JID),2740
2021-12-03 17:03,KYLE,Nothing 2 Lose,3720
2021-12-03 17:03,Travis Scott,SICKO MODE,1430
2021-12-03 17:03,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),880
2021-12-03 17:03,The Weeknd,Pray For Me (with Kendrick Lamar),4020
2021-12-03 17:03,Kid Cudi,Pursuit Of Happiness (Nightmare),1540
2021-12-03 17:03,MadeinTYO,Skateboard P,5960
2021-12-03 17:03,Lil Baby,Commercial (feat. Lil Uzi Vert),1440
2021-12-03 17:03,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",1150
2021-12-03 17:03,Young Stoner Life,Solid (feat. Drake),159760
2021-12-03 17:03,Travis Scott,Pornography,2750
2021-12-03 17:03,Playboi Carti,Location,3110
2021-12-03 17:03,Khao,Done With Her,1610
2021-12-03 17:03,The Weeknd,All I Know,1470
2021-12-03 17:03,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),1380
2021-12-03 17:03,Smokepurpp,Phone (feat. NAV),4570
2021-12-03 17:03,Drake,Jumpman,1130
2021-12-03 17:03,Travis Scott,STOP TRYING TO BE GOD,1170
2021-12-03 17:03,Juice WRLD,Robbery,2410
2021-12-03 17:04,Metro Boomin,Overdue (with Travis Scott),750
2021-12-03 17:04,Chief Keef,Love Sosa,2510
2021-12-03 17:06,Metro Boomin,Overdue (with Travis Scott),166093
2021-12-03 17:07,EARTHGANG,Proud Of U (feat. Young Thug),880
2021-12-03 17:07,The Weeknd,Privilege,1660
2021-12-03 17:07,NAV,Tap (feat. Meek Mill),820
2021-12-03 17:07,Trippie Redd,1400 / 999 Freestyle,1060
2021-12-03 17:07,A Boogie Wit da Hoodie,My Shit,2620
2021-12-03 17:07,Chief Keef,Love Sosa,35446
2021-12-03 17:10,A Boogie Wit da Hoodie,My Shit,119091
2021-12-03 17:24,Joey Bada$$,TEMPTATION,244197
2021-12-03 17:26,Jack Harlow,SUVs (Black on Black),157675
2021-12-03 17:29,Arizona Zervas,24,2090
2021-12-03 17:29,Arizona Zervas,24,8470
2021-12-03 17:29,Gunna,Derek Fisher (feat. Lil Baby),1630
2021-12-03 17:29,Childish Gambino,3005,1080
2021-12-03 17:29,Trippie Redd,Miss The Rage (feat. Playboi Carti),170657
2021-12-03 17:29,Drake,What’s Next,1400
2021-12-03 17:31,Migos,BBO (Bad Bitches Only),1160
2021-12-03 17:31,POORSTACY,OKAY,910
2021-12-03 17:31,Bankrol Hayden,29,116715
2021-12-03 17:31,Smokepurpp,Glock In My Benz,660
2021-12-03 17:31,A$AP Rocky,Bad Company (feat. BlocBoy JB),1340
2021-12-03 17:31,Maxo Kream,Mars (feat. Lil Uzi Vert),960
2021-12-03 17:31,Drake,The Motto,790
2021-12-03 17:31,Drake,What’s Next,2134
2021-12-03 17:32,Post Malone,Candy Paint,11180
2021-12-03 17:32,Drake,Still Here,2020
2021-12-03 17:35,TOKYO’S REVENGE,GOODMORNINGTOKYO!,1220
2021-12-03 17:35,Kanye West,Heartless,1810
2021-12-03 17:35,YoungBoy Never Broke Again,Wat Chu Gone Do (feat. Peewee Longway),1070
2021-12-03 17:35,Drake,One Dance,1510
2021-12-03 17:35,Bryson Tiller,Run Me Dry,7310
2021-12-03 17:35,MadeinTYO,Drip,4180
2021-12-03 17:35,Travis Scott,Pray 4 Love (feat. The Weeknd),3010
2021-12-03 17:35,Mac Miller,Knock Knock,202806
2021-12-03 17:35,Lil Baby,Belly (Lil Baby & Gunna),3833
2021-12-03 17:35,6 Dogs,Guccy Armor,1570
2021-12-03 17:35,Ski Mask The Slump God,Faucet Failure,1660
2021-12-03 17:36,Lil Uzi Vert,Sauce It Up,3890
2021-12-03 17:36,Lil Xan,Betrayed,2990
2021-12-03 17:38,Lil Yachty,NBAYOUNGBOAT,139845
